bert_small--encoder--jigsaw,bert_small--encoder--jigsaw--symmetric-init,bert_small--encoder--wikipedia,bert_small--encoder--wikipedia--symmetric-init,bert_small--encoder--red_pajama,bert_small--encoder--red_pajama--symmetric-init,bert--encoder--jigsaw,bert--encoder--jigsaw--symmetric-init,bert--encoder--wikipedia,bert--encoder--wikipedia--symmetric-init,bert--encoder--red_pajama,bert--encoder--red_pajama--symmetric-init
3.4463,3.358,1.5221,1.0764,1.6294,1.3285,2.1972,2.1934,0.4414,0.3949,0.477,0.4291
3.4397,3.3508,1.5206,1.0771,1.623,1.3221,2.1856,2.1818,0.4409,0.3945,0.4754,0.4285
3.4448,3.3557,1.5207,1.0768,1.6206,1.3188,2.1879,2.1839,0.4416,0.3956,0.4734,0.4262
3.4362,3.3499,1.5177,1.0742,1.6208,1.3189,2.1874,2.1842,0.441,0.3952,0.4749,0.4275
3.4233,3.3342,1.5136,1.071,1.6141,1.3136,2.1695,2.1659,0.4374,0.3913,0.4731,0.4264
3.4188,3.3323,1.5111,1.0709,1.6129,1.3124,2.1694,2.1673,0.4374,0.3922,0.4713,0.4254
3.4311,3.3473,1.5103,1.0702,1.6106,1.3094,2.1821,2.1814,0.4366,0.3918,0.4705,0.4237
3.4192,3.3334,1.5076,1.0671,1.6059,1.3051,2.168,2.1633,0.4356,0.3906,0.4692,0.4229
3.4094,3.324,1.5042,1.0661,1.603,1.3035,2.1553,2.1531,0.4351,0.39,0.4686,0.4222
3.4195,3.334,1.503,1.0659,1.6002,1.2989,2.173,2.1707,0.4332,0.3885,0.4669,0.4213
3.4022,3.3176,1.4977,1.0611,1.5962,1.2970000000000002,2.1638,2.1617,0.4332,0.3879,0.466,0.4213
3.404,3.3213,1.4989,1.0637,1.5939,1.2946,2.1536,2.1516,0.4329,0.3882,0.4649,0.4215
3.3949,3.3146,1.4945,1.0596,1.5935,1.294,2.1508,2.1489,0.4321,0.3875,0.4669,0.4212
3.4114,3.3268,1.4908,1.0585,1.5877,1.2884,2.1613,2.1602,0.4308,0.3868,0.4635,0.4197
3.3917,3.3101,1.4881,1.0558,1.5872,1.2881,2.1456,2.1443,0.4312,0.387,0.4646,0.4172
3.3948,3.3103,1.4863,1.0555,1.5855,1.285,2.1472,2.1449,0.43015,0.3865,0.46305,0.4172
3.3898,3.3079,1.485,1.0544,1.5819,1.2818,2.149,2.147,0.4283,0.3846,0.46235,0.4172
3.3848,3.3043,1.4814,1.0528,1.5795,1.2809,2.1417,2.1405,0.4276,0.383,0.4615,0.4161
3.3811,3.3019,1.4769,1.0501,1.5754,1.2773,2.1405,2.1395,0.42565,0.3831,0.4607,0.4151
3.3836,3.3015,1.4774,1.0523,1.574,1.2761,2.1438,2.1427,0.4285,0.3847,0.4598,0.4159
3.3832,3.3021,1.4722,1.0468,1.5745,1.2763,2.1393,2.138,0.4256,0.38205,0.459,0.4151
3.3741,3.2932,1.4703,1.0475,1.571,1.2715,2.1333,2.134,0.4244,0.3813499999999999,0.4601,0.4141
3.3709,3.2916,1.4658,1.0446,1.569,1.271,2.1359,2.1334,0.4232,0.38065,0.4579,0.4139
3.3686,3.2896,1.4648,1.0432,1.5639,1.2648,2.128,2.1262,0.4228,0.3803499999999999,0.4568,0.4118
3.3559,3.276,1.4609,1.0417,1.5635,1.2631,2.1191,2.119,0.4209,0.3786,0.4572,0.4125
3.3621,3.283,1.4571,1.0395,1.5597,1.2626,2.1233,2.1222,0.4206,0.3779,0.4554,0.4115
3.3701,3.2911,1.4564,1.0399,1.5583,1.259,2.131,2.1299,0.4209,0.3788,0.4549,0.4109
3.3508,3.2712,1.4528,1.0374,1.5537,1.2548,2.115,2.1135,0.4195,0.3778,0.453,0.4107
3.3606,3.2819,1.4497,1.0375,1.5545,1.2569,2.1253,2.1266,0.4187,0.3765,0.4536,0.4076
3.3515,3.2736,1.4483,1.0363,1.5505,1.2507,2.1178,2.1168,0.4182,0.3766,0.4512,0.4083
3.3535,3.2752,1.4437,1.034,1.547,1.2503,2.1145,2.1122,0.417,0.375,0.4519,0.4079
3.3389,3.2615,1.4414,1.0325,1.5437,1.2445,2.105,2.1027,0.4174,0.3759,0.4513,0.4076
3.3528,3.2748,1.4395,1.0314,1.5436,1.2454,2.1145,2.0992,0.4163,0.3748,0.4494,0.4062
3.3433,3.2669,1.4349,1.0282,1.5399,1.2431,2.1023,2.1034,0.4152,0.3741,0.4471,0.4064
3.3299,3.2562,1.4327,1.0281,1.5384,1.2417,2.1035,2.1068,0.415,0.3735,0.4473,0.4057
3.3362,3.2591,1.4315,1.0275,1.5362,1.2386,2.1029,2.094,0.4139,0.3732,0.4482,0.4055
3.3216,3.2457,1.4281,1.025,1.5339,1.2366,2.0856,2.0976,0.4108,0.3703,0.4474,0.4043
3.3304,3.2544,1.4278,1.027,1.5335,1.2314,2.1017,2.1009,0.4113,0.371,0.4472,0.4055
3.3254,3.2499,1.4225,1.0231,1.5307,1.2267,2.0923,2.0857,0.4117,0.3706,0.4457,0.4036
3.3308,3.2556,1.423,1.0234,1.5268,1.2236,2.0948,2.0907,0.4117,0.3715,0.4449,0.4026
3.3146,3.2394,1.421,1.0232,1.5241,1.2208,2.0868,2.0849,0.4102,0.37,0.4436,0.401
3.315,3.2406,1.4192,1.0219,1.5202,1.2177,2.0893,2.0867,0.4109,0.3708,0.4438,0.402
3.303,3.2297,1.4157,1.0201,1.5198,1.2176,2.0762,2.0821,0.409,0.3693,0.4423,0.4005
3.3149,3.2387,1.412,1.0179,1.5183,1.2165,2.0803,2.092,0.4076,0.3674,0.4419,0.399
3.3164,3.2424,1.4077,1.0145,1.514,1.212,2.0894,2.0882,0.4062,0.3667,0.4421,0.4
3.3121,3.2377,1.4069,1.0161,1.5137,1.2113,2.07505,2.0758,0.4068,0.3669,0.4409,0.3992
3.2963,3.2216,1.4039,1.0137,1.5119,1.2103,2.0637,2.0615,0.4058,0.3665,0.4407,0.3996
3.3118,3.2388,1.402,1.0142,1.5088,1.2076,2.0809499999999996,2.0749,0.4056,0.3665,0.4393,0.3991
3.291,3.2166,1.4014,1.0129,1.5063,1.2043,2.0624,2.0648,0.4057,0.3668,0.4374,0.3977
3.2989,3.224,1.398,1.0109,1.5052,1.2022,2.0691,2.0753,0.4037,0.3646,0.4379,0.3976
3.294,3.2218,1.3947,1.0081,1.5033,1.2023,2.0671,2.0685,0.4022,0.3631,0.438,0.3958
3.3054,3.2356,1.3962,1.011,1.5003,1.1994,2.0742,2.0755,0.404,0.3652,0.4377,0.3972
3.2833,3.2111,1.3894,1.0054,1.5005,1.1991,2.0594,2.0645,0.4001,0.3616,0.4359,0.3945
3.2903,3.2173,1.389,1.007,1.4986,1.1969,2.0543,2.0579,0.4011,0.3628,0.4375,0.3946
3.2743,3.2044,1.3895,1.0072,1.4956,1.1944,2.059,2.0547,0.4016,0.3633,0.4351,0.394
3.279,3.2095,1.3853,1.0046,1.4937,1.1927,2.052,2.0498,0.4002,0.3619,0.4343,0.3937
3.2751,3.2058,1.384,1.0038,1.4919,1.1908,2.0535,2.0576,0.3996,0.3623,0.4354,0.3942
3.2834,3.2125,1.3817,1.0027,1.488,1.1883,2.0486,2.0497,0.3999,0.3617,0.4328,0.3932
3.2677,3.1965,1.3794,1.0015,1.4881,1.1872,2.0504,2.0519,0.3988,0.3609,0.4325,0.3942
3.2675,3.1943,1.3778,1.0018,1.4865,1.1866,2.0538,2.0542,0.3973,0.3598,0.4315,0.3906
3.2686,3.1968,1.3744,0.9986,1.4847,1.1838,2.0388,2.0391,0.3969,0.3596,0.4315,0.3908
3.2571,3.1862,1.3764,1.0019,1.4805,1.18,2.0322,2.0407,0.396,0.3589,0.433,0.3911
3.2484,3.1799,1.3698,0.9966,1.4795,1.1803,2.0316,2.043,0.3947,0.3576,0.4299,0.3904
3.2762,3.2066,1.3678,0.9946,1.4805,1.1798,2.0448,2.0437,0.3941,0.3571,0.4307,0.3919
3.2656,3.1955,1.3664,0.9939,1.4779,1.1786,2.036,2.0419,0.3928,0.3564,0.4287,0.39
3.261,3.1928,1.3661,0.9942,1.4737,1.1743,2.0389,2.033,0.3936,0.3573,0.4294,0.3889
3.2522,3.185,1.3633,0.9928,1.4706,1.1717,2.0297,2.0317,0.3937,0.3573,0.4278,0.3881
3.2535,3.1856,1.3621,0.9933,1.4712,1.1714,2.0314,2.0394,0.394,0.3569,0.4266,0.3879
3.2524,3.1834,1.3589,0.9897,1.4703,1.1704,2.0286,2.0303,0.3917,0.3553,0.4284,0.3883
3.2475,3.1805,1.3605,0.9926,1.4662,1.1652,2.0187,2.0298,0.3926,0.3563,0.428,0.3878
3.2444,3.176,1.3576,0.9918,1.464,1.1613,2.0281,2.0363,0.3909,0.3545,0.4249,0.3856
3.2484,3.181,1.3554,0.9887,1.4658,1.1608,2.0279,2.0259,0.3893,0.3535,0.4253,0.3852
3.2406,3.1723,1.3511,0.9867,1.4645,1.16,2.0175,2.0239,0.3887,0.353,0.4261,0.3852
3.2478,3.1802,1.3511,0.9867,1.4628,1.1604,2.0129,2.0262,0.3883,0.3527,0.4245,0.3853
3.2341,3.1669,1.3504,0.987,1.4611,1.1569,2.0177,2.0231,0.3897,0.3542,0.4248,0.3866
3.2315,3.1645,1.3481,0.9855,1.45885,1.1532,2.0149,2.0209,0.3874,0.3521,0.4225,0.384
3.2191,3.1528,1.3439,0.9812,1.458,1.1552,2.0002,1.9996,0.3852,0.3501,0.4222,0.3823
3.2175,3.1512,1.3458,0.9837,1.45615,1.1526,2.0083,2.0074,0.3867,0.3517,0.4236,0.3839
3.245,3.1773,1.3419,0.9813,1.4574,1.151,2.0187,2.0211,0.3846,0.3497,0.4218,0.3808
3.2224,3.1571,1.3398,0.9798,1.4521,1.1499,2.0014,2.0014,0.3842,0.3494,0.4221,0.3835
3.2298,3.1636,1.3384,0.9788,1.4507,1.1477,2.0062,2.0063,0.3838,0.3495,0.4204,0.3825
3.2251,3.1588,1.3397,0.9804,1.4502,1.1462,2.0045,2.0094,0.385,0.3501,0.4195,0.3825
3.2215,3.1565,1.3367,0.9793,1.4489,1.1454,1.9981,2.0098,0.3841,0.3496,0.4214,0.3798
3.2235,3.1583,1.3365,0.9799,1.4469,1.1423,2.0021,1.998,0.3839,0.3493,0.4177,0.3802
3.2106,3.1467,1.3331,0.977,1.4453,1.1414,1.9961,1.9992,0.3814,0.3466,0.4191,0.3796
3.2183,3.1531,1.3313,0.9757,1.4449,1.1426,1.9934,1.9976,0.3816,0.3476,0.4196,0.3785
3.2123,3.1494,1.3296,0.9747,1.443,1.1411,1.9905,1.9989,0.3812,0.3473,0.4191,0.3802
3.2141,3.1499,1.3289,0.9745,1.4396,1.136,1.9919,1.9981,0.3817,0.348,0.4157,0.3781
3.204,3.1392,1.3273,0.9738,1.4396,1.1371,1.9885,1.9965,0.3806,0.3476,0.4152,0.379
3.2048,3.1388,1.3263,0.9727,1.4395,1.1367,1.9846,1.983,0.3809,0.3471,0.4165,0.3775
3.207,3.1432,1.324,0.9714,1.436,1.1354,1.9867,1.996,0.3799,0.3464,0.4152,0.3783
3.204,3.1408,1.3236,0.9727,1.435,1.1334,1.9797,1.9902,0.38,0.346,0.4159,0.3773
3.1969,3.1338,1.3232,0.9722,1.4328,1.132,1.9793,1.977,0.3788,0.3459,0.4141,0.3787
3.1989,3.1344,1.319,0.968,1.4301,1.1317,1.9821,1.9851,0.3773,0.3445,0.415,0.3759
3.2109,3.1493,1.3183,0.9694,1.43,1.1289,1.9802,1.9865,0.377,0.344,0.4131,0.3751
3.1883,3.1235,1.3186,0.9694,1.4281,1.1282,1.9726,1.9777,0.3784,0.3456,0.4126,0.3756
3.2057,3.144,1.315,0.9661,1.4295,1.127,1.9813,1.9903,0.3768,0.3436,0.4136,0.3756
3.1846,3.1227,1.3172,0.9681,1.4248,1.1237,1.9704,1.9749,0.3771,0.3448,0.4127,0.3748
3.184,3.1183,1.3134,0.9658,1.4275,1.1268,1.9582,1.9664,0.375,0.3422,0.4114,0.3747
3.1844,3.1238,1.312,0.9652,1.4232,1.1254,1.9766,1.9731,0.3752,0.3428,0.4113,0.374
3.2021,3.135,1.3115,0.9648,1.4221,1.12225,1.9781,1.9785,0.3755,0.3429,0.4127,0.3717
3.1808,3.1193,1.3085,0.9634,1.4202,1.1215,1.9597,1.9703,0.3746,0.3428,0.4125,0.3735
3.1918,3.1283,1.3077,0.9633,1.4193,1.12025,1.9717,1.978,0.3736,0.3416,0.4091,0.3739
3.1793,3.1177,1.3083,0.9635,1.4163,1.11905,1.9613,1.9646,0.3735,0.3416,0.4107,0.3715
3.1817,3.1213,1.3054,0.962,1.4159,1.1173,1.9584,1.9646,0.3725,0.3408,0.408,0.3719
3.1712,3.1086,1.3053,0.9616,1.4115,1.117,1.9564,1.9642,0.373,0.3411,0.4056,0.371
3.1754,3.1139,1.303,0.9604,1.4134,1.116,1.9638,1.9716,0.3713,0.3395,0.4085,0.3725
3.1744,3.11,1.3005,0.9579,1.4091,1.1148,1.9506,1.9585,0.37,0.3386,0.4077,0.37
3.1799,3.119,1.2961,0.9543,1.4076,1.1165,1.957,1.9601,0.3689,0.3383,0.4078,0.3699
3.1584,3.0987,1.2978,0.9571,1.4084,1.1125,1.9487,1.9521,0.371,0.34,0.4066,0.3709
3.1715,3.1113,1.2949,0.9548,1.4075,1.1129,1.9485,1.9575,0.3694,0.3388,0.4064,0.3687
3.1564,3.0956,1.2937,0.9549,1.4049,1.1112,1.9461,1.9486,0.3681,0.3372,0.4075,0.3689
3.1581,3.0988,1.2949,0.956,1.4028,1.1102,1.9495,1.9517,0.3677,0.3369,0.4053,0.3696
3.1594,3.0987,1.2925,0.9546,1.4032,1.1083,1.9391,1.9493,0.3683,0.3373,0.4044,0.3681
3.154,3.0956,1.29,0.9517,1.3997,1.1078,1.9467,1.9507,0.3666,0.336,0.4061,0.3669
3.1585,3.0988,1.2921,0.9547,1.4006,1.1081,1.9407,1.9504,0.3681,0.3376,0.4036,0.3679
3.1459,3.0872,1.2893,0.9529,1.3985,1.1055,1.9322,1.9355,0.3668,0.3362,0.4037,0.3676
3.1452,3.0861,1.2896,0.9528,1.3965,1.1069,1.935,1.9349,0.3663,0.3359,0.4039,0.3677
3.1605,3.1024,1.2872,0.9511,1.3938,1.1014,1.9425,1.9492,0.3648,0.3351,0.4015,0.366
3.1641,3.1054,1.2861,0.9511,1.3932,1.102,1.9482,1.9411,0.3649,0.3348,0.4016,0.3656
3.1549,3.0956,1.2843,0.9487,1.392,1.1005,1.9324,1.9359,0.36335,0.3326,0.4026,0.3678
3.1513,3.0922,1.2824,0.9476,1.3936,1.1013,1.9331,1.9397,0.36385,0.3342,0.4021,0.3663
3.1407,3.0836,1.2818,0.9474,1.3903,1.099,1.931,1.9393,0.3634,0.3336,0.4019,0.3645
3.1321,3.0733,1.2814,0.9488,1.3865,1.0992,1.9102,1.9207,0.3642,0.3341,0.4,0.3632
3.158,3.1004,1.2824,0.9487,1.3869,1.0984,1.9366,1.9395,0.3647,0.3346,0.4001,0.3668
3.1469,3.0891,1.2786,0.9462,1.3857,1.0981,1.9343,1.94,0.3632,0.33415,0.4022,0.3657
3.1422,3.0846,1.2789,0.9458,1.3829,1.0961,1.9198,1.9269,0.3626,0.33265,0.4001,0.3634
3.1416,3.0818,1.2762,0.9443,1.3805,1.0933,1.9189,1.9217,0.3619,0.3322,0.3988,0.3627
3.1416,3.0824,1.2751,0.9432,1.3816,1.0954,1.9235,1.9324,0.3609,0.33175,0.3982,0.3607
3.1349,3.0771,1.2739,0.943,1.3792,1.0928,1.9196,1.9274,0.3613,0.3323,0.4007,0.3606
3.1235,3.066,1.2759,0.9444,1.3787,1.0937,1.9102,1.9263,0.3606,0.3317,0.3978,0.3611
3.1391,3.0837,1.2735,0.9435,1.3781,1.0923,1.9287,1.9274,0.3607,0.3318,0.3964,0.3617
3.1274,3.0698,1.2713,0.9414,1.3758,1.0886,1.9157,1.9187,0.3582,0.3295,0.3977,0.3596
3.1337,3.0776,1.2691,0.9398,1.3756,1.0874,1.9155,1.9178,0.3582,0.3297,0.3955,0.361
3.1343,3.0781,1.2691,0.9414,1.3748,1.0879,1.9181,1.9291,0.3585,0.33,0.3957,0.3604
3.1367,3.0808,1.2663,0.9389,1.3733,1.0881,1.9037,1.9077,0.3572,0.3291,0.3967,0.3596
3.1241,3.0703,1.2673,0.9407,1.3709,1.0853,1.9056,1.9188,0.3594,0.3313,0.3946,0.3607
3.1167,3.0614,1.2649,0.9378,1.3717,1.0862,1.9055,1.913,0.3569,0.3283,0.3935,0.36
3.1203,3.0657,1.2652,0.9385,1.3685,1.0869,1.8951,1.9028,0.3572,0.3288,0.3959,0.3609
3.1242,3.0687,1.2629,0.9367,1.3688,1.0838,1.8984,1.9072,0.3561,0.3285,0.3945,0.3597
3.1203,3.0669,1.2601,0.935,1.3662,1.082,1.9147,1.9152,0.3546,0.3266,0.3935,0.3586
3.1164,3.06,1.2619,0.937,1.3657,1.0842,1.901,1.9113,0.3568,0.3286,0.3945,0.3586
3.1029,3.0454,1.2622,0.937,1.3672,1.0796,1.887,1.898,0.3558,0.3274,0.3928,0.3591
3.1135,3.0578,1.2601,0.9351,1.3624,1.0792,1.9067,1.9058,0.356,0.3282,0.3941,0.3593
3.1216,3.0671,1.2578,0.9338,1.3612,1.0797,1.9032,1.9033,0.3537,0.326,0.393,0.36
3.0994,3.0427,1.2557,0.9327,1.3624,1.0784,1.8785,1.8879,0.3535,0.3258,0.3938,0.3591
3.1186,3.0613,1.2556,0.9324,1.363,1.0799,1.8893,1.8977,0.3534,0.3263,0.3913,0.3584
3.0999,3.0449,1.2544,0.9313,1.3587,1.0767,1.8916,1.8893,0.3528,0.326,0.3929,0.3564
3.1099,3.0563,1.2554,0.9337,1.3578,1.0777,1.885,1.8939,0.3528,0.3253,0.3921,0.3575
3.1179,3.063,1.2531,0.9316,1.3569,1.0741,1.8899,1.8951,0.3522,0.3254,0.3914,0.3576
3.1092,3.0534,1.2514,0.9296,1.3571,1.0762,1.8917,1.9017,0.3519,0.3248,0.3927,0.3552
3.0989,3.0414,1.2518,0.9312,1.356,1.0739,1.8775,1.8857,0.3522,0.3253,0.3899,0.3547
3.0986,3.0444,1.2514,0.9299,1.3535,1.0743,1.8885,1.8904,0.3503,0.3239,0.3921,0.3565
3.1043,3.0509,1.2501,0.9306,1.3528,1.0724,1.8886,1.8911,0.3516,0.325,0.39,0.3544
3.0953,3.0418,1.2458,0.9261,1.3501,1.0729,1.8793,1.8879,0.3505,0.3232,0.3922,0.3533
3.1111,3.0562,1.2457,0.9259,1.3495,1.0701,1.8814,1.8897,0.3492,0.3228,0.388,0.3535
3.0885,3.0358,1.2442,0.9262,1.3463,1.0699,1.8793,1.8796,0.3502,0.3237,0.3872,0.3539
3.1031,3.051,1.2455,0.9283,1.3493,1.0696,1.8771,1.8866,0.3491,0.3224,0.3897,0.3545
3.0939,3.04,1.2438,0.9258,1.3459,1.0666,1.8768,1.8853,0.3482,0.3221,0.3889,0.3524
3.0865,3.0329,1.2441,0.9263,1.3461,1.069,1.8747,1.8747,0.35,0.3238,0.3869,0.3535
3.0864,3.0334,1.241,0.9241,1.3441,1.0659,1.866,1.8729,0.3474,0.3211,0.3868,0.3543
3.0841,3.0322,1.2402,0.924,1.3448,1.0654,1.8707,1.8656,0.3468,0.3206,0.3855,0.3529
3.0847,3.0337,1.2411,0.9248,1.3422,1.065,1.8802,1.8822,0.3472,0.3208,0.3873,0.3515
3.0933,3.0436,1.2379,0.9225,1.3443,1.0642,1.8686,1.8746,0.3452,0.3189,0.3856,0.353
3.0823,3.0315,1.2375,0.9225,1.3401,1.0628,1.8576,1.8739,0.3443,0.3185,0.3859,0.3526
3.0801,3.0263,1.2356,0.9209,1.3383,1.0614,1.869,1.8678,0.3454,0.3196,0.3854,0.3514
3.0865,3.0322,1.2349,0.9208,1.3382,1.06,1.8641,1.875,0.3455,0.3198,0.3847,0.3518
3.0844,3.0332,1.2345,0.9199,1.3381,1.0633,1.86085,1.8635,0.3466,0.321,0.3845,0.352
3.0822,3.0311,1.2347,0.9209,1.3363,1.0584,1.8748,1.8773,0.3451,0.3198,0.385,0.3518
3.0782,3.0269,1.2349,0.9213,1.337,1.0588,1.8557,1.8544,0.345,0.3191,0.3862,0.3511
3.0757,3.0228,1.2332,0.9199,1.3371,1.0592,1.8545,1.8632,0.3451,0.3196,0.3847,0.3484
3.0705,3.0194,1.2309,0.9192,1.3358,1.0589,1.8593,1.8665,0.3439,0.3183,0.3845,0.3474
3.0818,3.0294,1.2311,0.9189,1.3322,1.0575,1.855,1.8673,0.3446,0.3194,0.3836,0.3509
3.077,3.023,1.2293,0.9182,1.3313,1.0567,1.8542,1.8617,0.3436,0.3192,0.3845,0.3485
3.0742,3.0229,1.2274,0.916,1.3327,1.0562,1.8532,1.8659,0.343,0.3182,0.3834,0.3498
3.0632,3.0096,1.2301,0.9188,1.3295,1.0556,1.8476,1.8592,0.3432,0.3181,0.3815,0.3493
3.0638,3.0122,1.2267,0.917,1.3306,1.055,1.8451,1.849,0.3422,0.3174,0.3798,0.3468
3.0563,3.0048,1.2247,0.9155,1.3286,1.0529,1.8501,1.8528,0.342,0.3177,0.3814,0.3476
3.0704,3.0184,1.2245,0.9147,1.3292,1.0531,1.8484,1.855,0.3407,0.3155,0.3801,0.347
3.055,3.005,1.2241,0.9145,1.3254,1.0493,1.8425,1.8402,0.3404,0.3152,0.381,0.3474
3.0657,3.0154,1.2256,0.9175,1.3263,1.0532,1.8529,1.8568,0.3433,0.3192,0.3808,0.3447
3.0695,3.0185,1.2224,0.9154,1.326,1.0516,1.8458,1.8487,0.3422,0.3173,0.3791,0.3465
3.0624,3.0101,1.222,0.9147,1.3259,1.0504,1.832,1.8382,0.3397,0.3152,0.3806,0.3463
3.0599,3.0084,1.2216,0.9154,1.3211,1.0485,1.8393,1.8439,0.3407,0.3165,0.3776,0.3445
3.065,3.0153,1.2201,0.9141,1.321,1.0481,1.8419,1.8535,0.3398,0.3155,0.3794,0.347
3.0556,3.0039,1.2215,0.9156,1.3239,1.0477,1.8341,1.8379,0.3407,0.3165,0.3777,0.34535
3.0506,2.9999,1.2186,0.9142,1.3199,1.0469,1.8343,1.8428,0.3398,0.3153,0.3787,0.34515
3.0574,3.0063,1.214,0.9095,1.3179,1.0472,1.8333,1.8485,0.3374,0.3136,0.3776,0.34555
3.0554,3.0056,1.2157,0.9116,1.3176,1.0461,1.8267,1.8351,0.3383,0.3148,0.377,0.3441
3.0528,3.0017,1.2119,0.9079,1.3193,1.044,1.8287,1.8358,0.338,0.3137,0.3771,0.3443
3.0571,3.0059,1.21245,0.90925,1.3173,1.0441,1.8323,1.8404,0.336,0.3123,0.37855,0.3453
3.037,2.9871,1.2155,0.9134,1.317,1.0433,1.8223,1.8328,0.3387,0.3143,0.3775,0.3436
3.0462,2.9978,1.212,0.9095,1.3153,1.0443,1.8277,1.8323,0.3374,0.314,0.376,0.3443
3.0578,3.0066,1.2119,0.9108,1.3141,1.0445,1.8277,1.8437,0.3378,0.3141,0.3765,0.3432
3.0566,3.0059,1.2073,0.9072,1.3145,1.0418,1.8278,1.8349,0.3356,0.3117,0.376,0.3443
3.0533,3.0017,1.2074,0.9076,1.3116,1.0417,1.8191,1.8238,0.3354,0.3119,0.3745,0.3432
3.0383,2.9895,1.2088,0.9092,1.3111,1.042,1.8234,1.8363,0.337,0.3138,0.3752,0.3431
3.0463,2.9975,1.2063,0.9072,1.3096,1.0384,1.8225,1.8335,0.3349,0.3112,0.3744,0.3414
3.0389,2.9893,1.2065,0.9085,1.3089,1.0411,1.8107,1.8226,0.3355,0.3123,0.3741,0.3435
3.0443,2.9927,1.2033,0.9055,1.3086,1.0414,1.824,1.8243,0.3348,0.3115,0.3753,0.341
